expiration,type,strike,days_to_exp,T,spot,bid,ask,mid_price,bs_value,pct_diff,impl_vol,r_extracted,open_interest,volume,moneyness
2026-06-15,call,440.0,5,0.01643835616438356,394.125,1.03,1.07,1.05,1.05,-0.0,0.591,0.045,813,1437,0.8957
2026-06-15,call,442.5,5,0.01643835616438356,394.125,0.95,0.97,0.96,0.96,0.0,0.6013,0.045,1348,255,0.8907
2026-06-15,call,450.0,5,0.01643835616438356,394.125,0.69,0.72,0.705,0.0,0.0,0.0001,0.045,1619,2261,0.8758
2026-06-15,call,455.0,5,0.01643835616438356,394.125,0.58,0.64,0.61,0.0,0.0,0.0001,0.045,620,377,0.8662
2026-06-15,call,480.0,5,0.01643835616438356,394.125,0.25,0.3,0.275,0.0,0.0,0.0001,0.045,521,200,0.8211
2026-06-15,call,490.0,5,0.01643835616438356,394.125,0.18,0.21,0.195,0.0,0.0,0.0001,0.045,537,152,0.8043
2026-06-15,call,500.0,5,0.01643835616438356,394.125,0.14,0.15,0.145,0.0,0.0,0.0001,0.045,623,191,0.7883
2026-06-15,put,350.0,5,0.01643835616438356,394.125,1.37,1.41,1.39,0.0,0.0,0.0001,0.045,976,2762,1.1261
2026-06-15,put,365.0,5,0.01643835616438356,394.125,3.15,3.3,3.225,3.225,-0.0,0.6676,0.045,1531,287,1.0798
2026-06-15,put,370.0,5,0.01643835616438356,394.125,4.05,4.15,4.1,4.1,-0.0,0.6534,0.045,1969,797,1.0652
2026-06-15,put,375.0,5,0.01643835616438356,394.125,5.35,5.55,5.45,5.45,-0.0,0.6562,0.045,842,553,1.051
2026-06-15,put,380.0,5,0.01643835616438356,394.125,6.9,7.2,7.05,7.05,-0.0,0.6573,0.045,517,1245,1.0372
2026-06-15,put,390.0,5,0.01643835616438356,394.125,11.05,11.4,11.225,11.225,-0.0,0.6644,0.045,567,1795,1.0106
2026-06-15,put,400.0,5,0.01643835616438356,394.125,16.6,17.15,16.875,16.875,-0.0,0.6853,0.045,841,2201,0.9853
2026-06-15,put,415.0,5,0.01643835616438356,394.125,27.6,28.3,27.95,27.95,-0.0,0.7522,0.045,638,1208,0.9497
2026-06-15,put,425.0,5,0.01643835616438356,394.125,36.4,37.3,36.85,36.85,-0.0,0.8357,0.045,598,25,0.9274
2026-06-15,put,440.0,5,0.01643835616438356,394.125,49.95,51.5,50.725,45.5496,0.1136,0.0001,0.045,509,1,0.8957
2026-06-15,put,445.0,5,0.01643835616438356,394.125,54.55,56.05,55.3,50.5459,0.0941,0.0001,0.045,512,14,0.8857
2026-06-17,call,420.0,8,0.021917808219178082,394.125,3.8,3.9,3.85,3.85,-0.0,0.5301,0.045,729,674,0.9384
2026-06-17,call,430.0,8,0.021917808219178082,394.125,2.35,2.54,2.445,2.445,-0.0,0.5463,0.045,625,383,0.9166
2026-06-17,call,450.0,8,0.021917808219178082,394.125,1.09,1.14,1.115,1.115,0.0,0.5967,0.045,964,557,0.8758
2026-06-17,call,455.0,8,0.021917808219178082,394.125,0.87,0.99,0.93,0.93,0.0,0.6098,0.045,612,86,0.8662
2026-06-17,put,395.0,8,0.021917808219178082,394.125,15.1,15.7,15.4,15.4,0.0,0.6509,0.045,1395,1238,0.9978
2026-06-17,put,440.0,8,0.021917808219178082,394.125,50.55,51.9,51.225,51.225,-0.0,0.8621,0.045,503,2,0.8957
2026-06-17,put,445.0,8,0.021917808219178082,394.125,55.25,56.75,56.0,50.4363,0.1103,0.0001,0.045,502,1,0.8857
